姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
汪用和,媒体 / 见面,媒体,99,881,881,1,15,笑敖年代(881),像、总统、国民党、节目、民进党、市长、见、朋友
陈水扁,政治人物 / 公职人员 / 律师代理 / 人权救援 / 通信 / 选举助选 / 公共论战,政治人物,99,212,212,1,16,笑敖年代(212),总统、民进党、国民党、见、像、市长、法院、政府
施明德,政治异议者 / 政治人物 / 公共论战,政治异议者,99,192,192,1,11,笑敖年代(192),像、民进党、见、批评、主席、台独、妻、朋友
马英九,政治人物 / 公共论战 / 选举助选,政治人物,99,190,190,1,13,笑敖年代(190),国民党、政府、民进党、市长、像、主席、总统、军购
蒋介石,政治人物 / 公共论战 / 历史类比引用,政治人物,99,175,175,1,16,笑敖年代(175),总统、国民党、民进党、共产党、一起、政治、院长、法院
李登辉,政治人物 / 公职人员 / 公共论战 / 选举助选 / 财产债务 / 历史类比引用,政治人物,99,163,163,1,15,笑敖年代(163),总统、国民党、民进党、台独、见、政治、像、院长
宋楚瑜,政治人物 / 党务宣传 / 见面 / 选举助选 / 公共论战,政治人物,99,101,101,1,9,笑敖年代(101),市长、国民党、总统、像、政府、见、朋友、主席
谢长廷,政治人物 / 律师代理 / 选举助选 / 公共论战,政治人物,99,75,75,1,10,笑敖年代(75),民进党、像、市长、总统、国民党、律师、政治、见
郝龙斌,政治人物 / 公共论战,政治人物,99,71,71,1,8,笑敖年代(71),国民党、像、市长、见、政府、爸爸、民进党、选举
孙中山,政治人物 / 公共论战 / 历史类比引用,政治人物,99,56,56,1,10,笑敖年代(56),写信、法院、像、政治、总统、国民党、司令、政府
苏贞昌,政治人物 / 公职人员 / 公共论战,政治人物,99,52,52,1,10,笑敖年代(52),院长、总统、法院、民进党、告诉我、所谓、律师、见
彭明敏,政治人物 / 政治异议者 / 人权救援 / 选举助选 / 公共论战,政治人物,99,50,50,1,7,笑敖年代(50),总统、民进党、国民党、朋友、政治、见、像、台独
蒋经国,政治人物 / 公共论战 / 历史类比引用,政治人物,99,48,48,1,15,笑敖年代(48),总统、像、儿子、学生、见、国民党、所谓、政治
李远哲,科学家 / 学术 / 学术行政 / 选举助选 / 公共论战,科学家,99,45,45,1,4,笑敖年代(45),老师、总统、研究、中央研究院、院长、像、批评、北大
高俊明,宗教人物 / 政治异议者 / 人权救援 / 公共论战,宗教人物,99,45,45,1,2,笑敖年代(45),像、批评、请他、见、台独、国民党、序、同学
吕秀莲,政治人物 / 公共论战 / 选举助选,政治人物,99,38,38,1,9,笑敖年代(38),像、总统、民进党、选举、律师、报纸、政治、儿子
林义雄,政治人物 / 政治异议者 / 人权救援 / 社会案件 / 亲属 / 公共论战,政治人物,99,36,36,1,8,笑敖年代(36),民进党、总统、像、拜访、政治、委员、主席、台独
连战,政治人物 / 公职人员 / 选举助选 / 公共论战,政治人物,99,36,36,1,9,笑敖年代(36),国民党、院长、军购、总统、主席、写信、像、市长
袁世凯,政治人物 / 公共论战 / 历史类比引用,政治人物,99,27,27,1,7,笑敖年代(27),国民党、总统、写信、院长、市长、县长、朋友、法院
希特勒,政治人物 / 公共论战 / 历史类比引用 / 神交引用,政治人物,99,24,24,1,4,笑敖年代(24),报纸、像、比喻、政治、序、市长、政府、见
刘家昌,媒体 / 文艺音乐 / 情感 / 公共论战 / 见面,媒体,99,23,23,1,2,笑敖年代(23),报纸、国民党、起诉、爸爸、儿子、像、朋友、记者
周玉蔻,媒体 / 见面 / 公共论战,媒体,99,16,16,1,3,笑敖年代(16),像、国民党、见、台独、民进党、一起
李庆华,政治人物 / 选举助选 / 见面 / 朋友 / 公共论战,政治人物,99,16,16,1,3,笑敖年代(16),县长、告诉我、律师、法院、请我、法官、秘书、委员
李昌钰,科学家 / 司法人员 / 创作资料协助 / 公共论战,科学家,99,15,15,1,2,笑敖年代(15),博士、像、调查局、国民党、政府、见、告诉我、见证
刘泰英,政治人物 / 诉讼 / 财产债务,政治人物,99,14,14,1,2,笑敖年代(14),国民党、序、总统、见、找我、起诉、杂志、认识
宋美龄,亲属 / 政治人物 / 公职人员 / 公共论战 / 历史类比引用,亲属,99,14,14,1,5,笑敖年代(14),夫人、像、部长、节目、儿子、所谓、总统、一起
李鸿禧,学术 / 选举助选 / 公共论战,学术,99,14,14,1,1,笑敖年代(14),老师、学生、民进党、思想、总统、像、杂志、批评
林肯,政治人物 / 历史类比引用 / 神交引用,政治人物,99,14,14,1,4,笑敖年代(14),政治、总统、选举、像、司令、将军、告诉我、研究
王金平,政治人物 / 公职人员 / 选举助选 / 公共论战 / 见面,政治人物,99,14,14,1,5,笑敖年代(14),国民党、朋友、政治、像、委员、总统、主席、攻击
陈瑞仁,司法人员 / 诉讼 / 公共论战 / 创作资料协助,司法人员,99,14,14,1,2,笑敖年代(14),起诉、总统、夫人、政治、书里、碰到、妈妈、序
李杰,军事人物 / 公职人员 / 公共论战,军事人物,99,13,13,1,6,笑敖年代(13),共产党、部长、军购、爸爸、问我、法院、委员、总统
王昇,军事人物 / 党务宣传 / 公共论战 / 历史类比引用,军事人物,99,13,13,1,2,笑敖年代(13),将军、请他、母亲、妈妈、所谓、朋友、见、主席
许信良,政治人物 / 政治异议者 / 公共论战 / 选举助选,政治人物,99,13,13,1,4,笑敖年代(13),民进党、总统、国民党、主席、历史上、像、政治
周守训,政治人物 / 媒体 / 见面,政治人物,99,12,12,1,7,笑敖年代(12),国民党、委员、法院、同事、告诉我、总统、司令、像
游锡堃,政治人物 / 公职人员 / 公共论战,政治人物,99,12,12,1,4,笑敖年代(12),主席、民进党、见、批评、总统、告诉我、国民党、院长
耶稣,宗教人物 / 历史类比引用 / 神交引用,宗教人物,99,12,12,1,4,笑敖年代(12),台独、政治、请他、朋友、夫人、像
龙应台,媒体 / 学术 / 公共论战,媒体,99,10,10,1,2,笑敖年代(10),序、政治、大学、像、所谓
列宁,政治人物 / 公共论战 / 历史类比引用,政治人物,99,9,9,1,5,笑敖年代(9),国民党、主席、民进党、共产党、所谓、政治、委员、朋友
孔子,诗文出处 / 学术 / 历史类比引用 / 神交引用,诗文出处,99,9,9,1,2,笑敖年代(9),夫人
毛泽东,政治人物 / 公共论战 / 历史类比引用,政治人物,99,9,9,1,3,笑敖年代(9),朋友、主席、儿子、主义、报纸、学者
赵少康,政治人物 / 媒体 / 公共论战 / 朋友,政治人物,99,9,9,1,3,笑敖年代(9),市长、总统、国民党、电视、台大、院长、法院、哲学
张学良,军事人物 / 政治人物 / 公共论战 / 历史类比引用,军事人物,99,8,8,1,2,笑敖年代(8),访问、电视、一起、共产党、老师、爸爸、政治
李家同,学术行政 / 学术 / 公共论战,学术行政,99,8,8,1,1,笑敖年代(8),大学、像、政治、序
胡适,通信 / 见面 / 学术 / 学术行政 / 诗文出处 / 公共论战 / 历史类比引用,通信,99,7,7,1,4,笑敖年代(7),教授、大学、政府、学生、情书、北大、老师、研究
