姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
李远哲,科学家 / 学术 / 学术行政 / 选举助选 / 公共论战,科学家,99,311,311,1,37,李敖通电集(311),研究、中央研究院、院长、见、总统、教授、大学、本院
陈水扁,政治人物 / 公职人员 / 律师代理 / 人权救援 / 通信 / 选举助选 / 公共论战,政治人物,99,176,176,1,28,李敖通电集(176),总统、见、记者、委员、政治、民进党、研究、中央研究院
王文洋,财产债务 / 师生 / 公共论战,财产债务,99,154,154,1,15,李敖通电集(154),记者、致函、总统、博士、政治、认识、主席、先生
张俊宏,政治人物 / 政治异议者 / 媒体 / 财产债务 / 诉讼 / 公共论战,政治人物,99,138,138,1,8,李敖通电集(138),电视、节目、诉状、起诉、朋友、告发、律师、民进党
王永庆,财产债务 / 财产信托 / 通信 / 公共论战,财产债务,99,116,116,1,15,李敖通电集(116),总统、记者、立委、会面、政治、见、委员、读
江绵恒,通信 / 见面 / 政治人物,待复核,99,106,57,1,14,李敖通电集(106),致函、寄给、认识、总统、主席、会面、政治、政府
秦慧珠,政治人物 / 公职人员 / 创作资料协助 / 公共论战,政治人物,99,106,106,1,8,李敖通电集(106),记者、总统、立委、政治、委员、见、读、法务部
李登辉,政治人物 / 公职人员 / 公共论战 / 选举助选 / 财产债务 / 历史类比引用,政治人物,99,60,60,1,17,李敖通电集(60),总统、委员、像、告诉我、见、政府、所谓、国民党
尤清,公职人员 / 政治人物 / 律师代理 / 政治异议者 / 人权救援 / 公共论战,公职人员,99,58,58,1,3,李敖通电集(58),政府、民进党、国民党、总统、县长、见、好友、发行
吴子嘉,媒体 / 见面 / 公共论战,媒体,99,39,39,1,7,李敖通电集(39),电视、见、律师、节目、政治、起诉、诉状、民进党
冯沪祥,学术 / 政治人物 / 朋友 / 创作资料协助 / 公共论战,学术,99,36,36,1,5,李敖通电集(36),委员、总统、选举、法官、法院、律师、见、记者
江泽民,政治人物 / 公共论战,政治人物,99,30,30,1,9,李敖通电集(30),主席、会面、记者、总统、政治、致函、写信、告诉我
李鼎彝,亲属 / 学术 / 诗文出处,亲属,99,29,29,1,4,李敖通电集(29),大学、学生、太太、读、好友、教书、朋友、妈妈
余陈月瑛,政治人物 / 诉讼 / 公共论战,政治人物,99,25,25,1,5,李敖通电集(25),电视、告发、诉状、致函、政府、国民党、序、法院
卢丁财,学术行政 / 姻亲,学术行政,99,25,16,1,6,李敖通电集(25),院长、院方、研究、中央研究院、夫人、一起、总务主任、太太
黄石城,公职人员 / 政治人物 / 公共论战,公职人员,99,25,25,1,5,李敖通电集(25),委员、所谓、选举、财产、总统、书中、律师、朋友
曾文惠,亲属 / 财产债务 / 公共论战,亲属,99,23,23,1,1,李敖通电集(23),法院、记者、委员、见、总统、控告、法官、诬告
王企祥,学术 / 科学家 / 公共论战,学术,99,22,22,1,4,李敖通电集(22),见、学生、大学、老师、教授、台大、学术、研究
