姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
胡适,通信 / 见面 / 学术 / 学术行政 / 诗文出处 / 公共论战 / 历史类比引用,通信,99,1541,1541,1,8,胡适研究(1541),文学、主义、见、思想、读、批评、诗、出版
陈独秀,学术 / 政治人物 / 神交引用,学术,99,306,306,1,5,胡适研究(306),文学、主义、见、思想、杂志、政治、诗、读
梁启超,学术 / 政治人物 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,177,177,1,6,胡适研究(177),任公、思想、梁任公、主义、读、哲学、结婚、批评
郑学稼,学术 / 出版 / 公共论战,学术,99,64,64,1,3,胡适研究(64),先生、见、文学、读、出版、郑律师、文星、主义
丁文江,学术 / 学术行政 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,62,62,1,5,胡适研究(62),传记、研究、朋友、学术、像、写信、父亲、见
任卓宣,政治人物 / 党务宣传 / 出版 / 公共论战,政治人物,99,47,47,1,4,胡适研究(47),见、先生、政治、杂志、论战、主义、读、出版
钱玄同,学术 / 出版 / 神交引用,学术,99,44,44,1,2,胡适研究(44),文学、主义、北大、思想、诗、所谓、教授、读
马克思,学术 / 公共论战 / 历史类比引用,学术,99,36,36,1,3,胡适研究(36),主义、批评、见、朋友、思想、政府、政治、著作
易卜生,诗文出处 / 神交引用,诗文出处,99,32,32,1,3,胡适研究(32),主义、思想、文学、作品、研究、像、引用、学生
李大钊,政治人物 / 公共论战 / 历史类比引用,政治人物,99,29,29,1,2,胡适研究(29),主义、政治、见、读、像、文学、诗、主编
吴虞,学术 / 神交引用,学术,99,27,27,1,2,胡适研究(27),序、攻击、哲学、文学、主义、论战、所谓、思想
孙中山,政治人物 / 公共论战 / 历史类比引用,政治人物,99,21,21,1,3,胡适研究(21),先生、主义、政治、思想、文学、批评、学者、所谓
傅斯年,学术 / 学术行政 / 诗文出处 / 公共论战 / 历史类比引用,学术,99,19,19,1,4,胡适研究(19),孟真先生、文学、读、先生、批评、学生、见、古代
徐志摩,诗文出处 / 历史类比引用 / 神交引用,诗文出处,99,18,18,1,4,胡适研究(18),学生、文学、大学、传记、娶、离婚、老师、书中
蔡元培,学术行政 / 学术 / 诗文出处 / 公共论战 / 历史类比引用,学术行政,99,18,18,1,4,胡适研究(18),文学、大学、思想、朋友、教授、序、主义、北大
鲁迅,诗文出处 / 学术 / 历史类比引用 / 神交引用 / 公共论战,诗文出处,99,17,17,1,2,胡适研究(17),文学、大学、见、北大、出版、诗、政治、读
孔子,诗文出处 / 学术 / 历史类比引用 / 神交引用,诗文出处,99,16,16,1,5,胡适研究(16),主义、文学、思想、见、总统、论文、序、出版
陈天华,政治异议者 / 诗文出处 / 公共论战,政治异议者,99,16,16,1,2,胡适研究(16),同盟会斗士陈天华、宣传、主义、见、批评、妈妈、出版、著作
杜威,学术 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,13,13,1,2,胡适研究(13),主义、哲学、像、思想、政治、主编、论文、政府
沈尹默,学术 / 学术行政 / 文艺音乐 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,12,12,1,2,胡适研究(12),北大、教授、思想、主义、诗、主编、出版、大学
沈兼士,学术 / 公共论战,学术,99,11,11,1,2,胡适研究(11),北大、教授、主义、诗、大学、文学、同在、读
耶稣,宗教人物 / 历史类比引用 / 神交引用,宗教人物,99,10,10,1,3,胡适研究(10),思想、诗、见
胡秋原,公共论战 / 诉讼 / 学术 / 出版 / 党务宣传 / 左派转向 / 诗文出处 / 历史类比引用,公共论战,99,10,10,1,5,胡适研究(10),先生、见、读、见到、学术、论文、政治、批评
凯撒,政治人物 / 军事人物 / 历史类比引用 / 神交引用,政治人物,99,6,6,1,1,胡适研究(6),政治、思想
孙悟空,虚拟人物 / 小说剧本人物 / 历史类比引用,虚拟人物,99,6,6,1,1,胡适研究(6),见、辩护、博士
梁实秋,学术 / 出版 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,6,6,1,3,胡适研究(6),思想、哲学、文学、老师、学生、书中、先生、一起
毛泽东,政治人物 / 公共论战 / 历史类比引用,政治人物,99,6,6,1,2,胡适研究(6),文学、宣传、思想、序、所谓、写稿、主义
卢梭,学术 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,5,5,1,2,胡适研究(5),哲学、像、政治、序、思想、学者、文学
叶公超,学术 / 出版 / 见面,学术,99,5,5,1,2,胡适研究(5),叶公超、一起、发行、杂志、书店、出版、陈立峰、毛子水、梁实秋、叶公超、徐复观、黎东方、胡秋原、李敖、蒋复璁、王洪钧、余光中
墨子,学术 / 历史类比引用 / 神交引用,学术,99,5,5,1,3,胡适研究(5),哲学、序、学者、思想、书中、大学
朱熹,神交引用 / 学术,神交引用,99,5,5,1,3,胡适研究(5),读、见、主义、认识、古代、儿子
朱经农,学术 / 学术行政 / 公共论战 / 神交引用,学术,99,5,5,1,1,胡适研究(5),文学、节目、见、研究、北大、读、写信
毛子水,学术 / 出版 / 公共论战,学术,99,5,5,1,3,胡适研究(5),夫人、诗、出版、文星、陈立峰、毛子水、梁实秋、叶公超、徐复观、黎东方、胡秋原、李敖、蒋复璁、王洪钧、余光中、大学、台大、校改本，送给徐高阮、毛子水、台静农、姚从吾、台大图书馆、成功大学图书馆、李敖，蒋梦麟、沈宗瀚、钱天鹤
田尚明,公共论战,公共论战,99,5,5,1,2,胡适研究(5),文星、杂志、先生、出版、见、读、教授、大学
章学诚,学术 / 神交引用,学术,99,5,5,1,2,胡适研究(5),先生、传记、序、诗、思想、批评、像
罗素,诗文出处 / 学术 / 历史类比引用 / 神交引用 / 出版,诗文出处,99,5,5,1,4,胡适研究(5),主义、杂志、政治、思想、哲学、教授、研究、论文
释迦牟尼,宗教人物 / 神交引用,宗教人物,99,5,5,1,1,胡适研究(5),辩护、电报、请他
吴研因,学术 / 出版 / 公共论战,学术,99,4,4,1,2,胡适研究(4),吴研因、哲学、文学、学生、教授、读、所谓
周伯达,出版 / 公共论战 / 创作资料协助,出版,99,4,4,1,1,胡适研究(4),先生、周伯达先生、文星、论战、告诉我、批评
姚从吾,师生 / 学术 / 见面 / 创作资料协助,师生,99,4,4,1,1,胡适研究(4),见、见到、写信、送我、先生、大学、台大、姚从吾先生
康德,神交引用,神交引用,99,4,4,1,2,胡适研究(4),哲学、像、序、学者、政治、文学
徐道邻,学术 / 公共论战,学术,99,4,4,1,2,胡适研究(4),徐道邻、批评、论战、先生
斯大林,政治人物 / 公共论战 / 历史类比引用,政治人物,99,4,4,1,3,胡适研究(4),政治、出版社、出版、序、检察官、思想
杨树人,学术 / 出版 / 公共论战,学术,99,4,4,1,1,胡适研究(4),文星、读、先生、杨树人先生
梅觐庄,学术 / 创作资料协助 / 见面,学术,99,4,4,1,1,胡适研究(4),诗、文学、梅觐庄、见、学者、大学、同学、论战
温源宁,诗文出处 / 学术 / 公共论战,诗文出处,99,4,4,1,2,胡适研究(4),温源宁、诗、见、像
胡虚一,通信 / 朋友 / 出版 / 创作资料协助 / 同案狱友 / 政治异议者 / 学术,通信,99,4,4,1,1,胡适研究(4),先生、胡虚一先生、政治、思想
荀子,学术 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,4,4,1,3,胡适研究(4),读、思想、书中、哲学、文学、学生、教授、诗
许怡荪,学术 / 创作资料协助,学术,99,4,4,1,2,胡适研究(4),许怡荪、教授、研究、著作、诗、传记
韩非,学术 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,4,4,1,2,胡适研究(4),思想、书中、哲学、所谓、学生、教授、读、诗
蒋梦麟,学术 / 政治人物 / 见面 / 公共论战,学术,98,4,4,1,1,胡适研究(4),序、大学、台大、先生、校改本，送给徐高阮、毛子水、台静农、姚从吾、台大图书馆、成功大学图书馆、李敖，蒋梦麟、沈宗瀚、钱天鹤
孟子,学术 / 历史类比引用 / 神交引用,学术,97,3,3,1,1,胡适研究(3),读、诗、学生、教授、思想、主义、研究
蒋廷黻,学术 / 政治人物 / 诗文出处 / 历史类比引用 / 公共论战 / 神交引用,学术,96,5,5,1,2,胡适研究(5),政治、蒋廷黻、钱端升、吴景超、丁文江、朋友、像
吴景超,学术 / 公共论战,学术,96,4,4,1,1,胡适研究(4),政治、蒋廷黻、钱端升、吴景超、丁文江、朋友、像
钱端升,学术 / 公共论战,学术,96,4,4,1,1,胡适研究(4),政治、蒋廷黻、钱端升、吴景超、丁文江、朋友、像
刘半农,学术 / 诗文出处 / 历史类比引用 / 神交引用,学术,95,17,17,1,2,胡适研究(17),文学、北大、大学、诗、像、思想、读、著作
余光中,学术 / 出版 / 见面 / 通信 / 朋友 / 公共论战 / 学术考证引用,学术,95,6,6,1,3,胡适研究(6),见、像、诗、文学、陈立峰、毛子水、梁实秋、叶公超、徐复观、黎东方、胡秋原、李敖、蒋复璁、王洪钧、余光中
赵元任,学术 / 学术行政 / 神交引用,学术,95,5,5,1,2,胡适研究(5),文学、诗、见、同学、论战、写信、序、学生
庄子,历史类比引用 / 神交引用,历史类比引用,95,3,3,1,3,胡适研究(3),思想、书中、哲学、学生、教授、读、诗
歌德,诗文出处 / 历史类比引用 / 神交引用,诗文出处,95,3,3,1,1,胡适研究(3),文学、学者、政治、主义
王洪钧,学术行政 / 出版 / 公共论战,学术行政,94,4,4,1,3,胡适研究(4),文星、出版、思想、陈立峰、毛子水、梁实秋、叶公超、徐复观、黎东方、胡秋原、李敖、蒋复璁、王洪钧、余光中、杂志、作品、先生
丁文渊,学术 / 创作资料协助 / 出版,学术,94,3,3,1,1,胡适研究(3),发行、研究、传记、中央研究院、先生、丁文江的四弟丁文渊先生
达尔文,神交引用,神交引用,94,3,3,1,2,胡适研究(3),教授、研究、史学、政治、文学
徐复观,学术 / 出版 / 诉讼 / 公共论战,学术,93,4,4,1,2,胡适研究(4),夫人、诗、出版、陈立峰、毛子水、梁实秋、叶公超、徐复观、黎东方、胡秋原、李敖、蒋复璁、王洪钧、余光中
章士钊,学术 / 诗文出处 / 政治异议者 / 公共论战 / 历史类比引用 / 神交引用,学术,92,6,6,1,2,胡适研究(6),教授、北大、著作、文学、章士钊、李寅恭等文章、发行、序、杂志
何梅士,出版,出版,92,3,3,1,1,胡适研究(3),杂志、见、序
牟力非,媒体 / 编辑 / 政治异议者 / 通信 / 公共论战,媒体,92,3,3,1,2,胡适研究(3),先生、见、杂志、出版、文星、作品
陈之藩,学术 / 诗文出处 / 通信 / 朋友 / 公共论战 / 出版,学术,92,3,3,1,1,胡适研究(3),传记、出版、先生、陈之藩先生
曾国藩,历史类比引用 / 政治人物 / 军事人物 / 神交引用,历史类比引用,90,7,7,1,3,胡适研究(7),说过、问我、研究、著作、批评、传记、历史上
康有为,学术 / 政治人物 / 出版 / 主剧情人物 / 小说剧本人物 / 历史类比引用 / 神交引用,学术,89,21,21,1,4,胡适研究(21),总统、出版、论文、批评、政府、政治、思想、诗
周作人,学术 / 诗文出处 / 师生 / 历史类比引用 / 神交引用,学术,89,18,18,1,2,胡适研究(18),文学、大学、北大、哲学、主义、思想、教授、诗
高一涵,学术 / 公共论战 / 神交引用,学术,89,9,9,1,2,胡适研究(9),政治、思想、哲学、文学、论文、主编、出版、读
袁世凯,政治人物 / 公共论战 / 历史类比引用,政治人物,89,7,7,1,3,胡适研究(7),文学、总统、诗、论文、主义、出版、见、北大
苏曼殊,出版 / 宗教人物 / 政治异议者 / 历史类比引用 / 神交引用,出版,89,6,6,1,2,胡适研究(6),杂志、主义、文学、读、出版、作品、序、见
张慰慈,学术 / 诗文出处 / 神交引用,学术,87,4,4,1,2,胡适研究(4),学生、批评、主义、学者、政府、政治、像
高语罕,学术 / 创作资料协助 / 公共论战,学术,87,3,3,1,2,胡适研究(3),论文、出版、杂志、先生、高语罕先生
孟德斯鸠,学术 / 政治人物 / 诗文出处 / 神交引用,学术,86,6,6,1,2,胡适研究(6),哲学、像、序
苏雪林,见面,见面,86,3,3,1,2,胡适研究(3),杂志、先生、见、博士、法院、文学、学生、文星
薛琪瑛,神交引用,神交引用,86,3,3,1,2,胡适研究(3),女士、文学、论文、读
维辛斯基,司法人员 / 政治人物 / 神交引用,司法人员,85,8,8,1,1,胡适研究(8),学者、主义、辩护、思想、司令、见
王尔德,诗文出处 / 历史类比引用 / 神交引用,诗文出处,85,6,6,1,2,胡适研究(6),文学、论文、政治、主义
张继,政治异议者 / 政治人物 / 创作资料协助 / 历史类比引用,政治异议者,85,4,4,1,1,胡适研究(4),杂志、序、文学、发行
周鲠生,学术 / 通信 / 公共论战,学术,81,4,4,1,1,胡适研究(4),编辑、国民党、论战、读
梁漱溟,学术 / 神交引用 / 公共论战,学术,81,4,4,1,2,胡适研究(4),诗、来信、书中、主义
陈济棠,军事人物 / 政治人物 / 历史类比引用,军事人物,81,4,4,1,1,胡适研究(4),读、见、司令、书中、诗
胡颂平,学术 / 学术行政 / 出版,学术,81,3,3,1,2,胡适研究(3),秘书、像、文星、论战、先生
雷啸岑,诗文出处 / 出版 / 创作资料协助,诗文出处,81,3,3,1,3,胡适研究(3),先生、告诉我、出版、学生、杂志、作品
蓝志先,通信 / 创作资料协助,通信,80,4,4,1,2,胡适研究(4),致蓝志先讨论、朋友
屠格涅夫,诗文出处 / 历史类比引用 / 神交引用,诗文出处,78,4,4,1,2,胡适研究(4),文学、学生、读、主义、出版、杂志
王国维,学术 / 诗文出处 / 神交引用,学术,77,3,3,1,2,胡适研究(3),见、读、书中、诗、文学、先生
蒋复璁,学术 / 公职人员 / 诗文出处 / 出版 / 历史类比引用,学术,75,3,3,1,2,胡适研究(3),传记、文学、陈立峰、毛子水、梁实秋、叶公超、徐复观、黎东方、胡秋原、李敖、蒋复璁、王洪钧、余光中
但丁,诗文出处 / 历史类比引用 / 神交引用,诗文出处,74,4,4,1,1,胡适研究(4),文学、好友、作品、诗
孙德中,学术 / 诗文出处 / 公共论战,学术,74,2,2,1,1,胡适研究(2),教授、出版、文星、大学、先生、师范大学教授孙德中先生的笔名
徐高阮,学术 / 党务宣传 / 公共论战 / 左派转向,学术,74,2,2,1,1,胡适研究(2),大学、台大、校改本，送给徐高阮、毛子水、台静农、姚从吾、台大图书馆、成功大学图书馆、李敖，蒋梦麟、沈宗瀚、钱天鹤
陶渊明,诗文出处 / 学术 / 历史类比引用 / 神交引用,诗文出处,74,2,2,1,1,胡适研究(2),儿子、读
吴敬恒,学术 / 政治人物 / 公共论战 / 历史类比引用,学术,73,3,3,1,3,胡适研究(3),学术、共产党、先生
