姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
李登辉,政治人物 / 公职人员 / 公共论战 / 选举助选 / 财产债务 / 历史类比引用,政治人物,99,532,532,1,50,李敖颠倒众生(532),总统、国民党、像、民进党、委员、政府、所谓、共产党
陈水扁,政治人物 / 公职人员 / 律师代理 / 人权救援 / 通信 / 选举助选 / 公共论战,政治人物,99,524,524,1,57,李敖颠倒众生(524),总统、政府、国民党、民进党、像、市长、见、所谓
蒋介石,政治人物 / 公共论战 / 历史类比引用,政治人物,99,221,221,1,31,李敖颠倒众生(221),共产党、所谓、见、国民党、总统、政府、将军、像
吕秀莲,政治人物 / 公共论战 / 选举助选,政治人物,99,161,161,1,14,李敖颠倒众生(161),总统、像、政府、县长、民进党、读、主席、见
张学良,军事人物 / 政治人物 / 公共论战 / 创作资料协助 / 历史类比引用,军事人物,99,153,153,1,7,李敖颠倒众生(153),见、将军、国民党、夫人、告诉我、儿子、认识、共产党
尹清枫,军事人物 / 被害人 / 公款经费 / 公共论战,军事人物,99,137,137,1,5,李敖颠倒众生(137),见、电话、打电话、总统、夫人、像、节目、所谓
张俊宏,政治人物 / 政治异议者 / 媒体 / 财产债务 / 诉讼 / 公共论战,政治人物,99,124,124,1,7,李敖颠倒众生(124),电视、委员、民进党、全民电通的监察人、律师、见、朋友、告发
蔡同荣,政治人物 / 媒体 / 财产债务 / 诉讼 / 公共论战,政治人物,99,123,123,1,7,李敖颠倒众生(123),民进党、电视、委员、国民党、像、告发、一起、报导
马英九,政治人物 / 公共论战 / 选举助选,政治人物,99,123,123,1,15,李敖颠倒众生(123),市长、民进党、政府、总统、政治、见、所谓、国民党
李美葵,亲属 / 被害人 / 证人见证 / 创作资料协助 / 公共论战,亲属,99,94,94,1,5,李敖颠倒众生(94),夫人、女士、总统、军法、见、朋友、像、上校
许信良,政治人物 / 政治异议者 / 公共论战 / 选举助选,政治人物,99,84,84,1,17,李敖颠倒众生(84),总统、民进党、像、批评、国民党、政府、所谓、主席
郭力恒,军事人物 / 同案狱友 / 证人见证 / 公款经费 / 公共论战,军事人物,99,79,79,1,5,李敖颠倒众生(79),见、见面、像、先生、委员、监狱、打电话、电话
宋楚瑜,政治人物 / 党务宣传 / 见面 / 选举助选 / 公共论战,政治人物,99,72,72,1,17,李敖颠倒众生(72),政府、检察官、法院、国民党、见、主席、政治、像
史力行,军事人物 / 社会案件 / 公共论战,军事人物,99,70,70,1,5,李敖颠倒众生(70),上校、告诉我、总统、主义、读、像、民进党、国民党
蒋经国,政治人物 / 公共论战 / 历史类比引用,政治人物,99,64,64,1,18,李敖颠倒众生(64),总统、院长、所谓、国民党、政府、朋友、民进党、见
何世礼,军事人物 / 通信 / 创作资料协助 / 公共论战,军事人物,99,61,61,1,2,李敖颠倒众生(61),将军、见、何世礼将军、儿子、父亲、中将、报纸、爸爸
连战,政治人物 / 公职人员 / 选举助选 / 公共论战,政治人物,99,60,60,1,20,李敖颠倒众生(60),国民党、广播、像、总统、选举、见、民进党、封杀
李远哲,科学家 / 学术 / 学术行政 / 创作资料协助 / 公共论战,科学家,99,57,57,1,13,李敖颠倒众生(57),研究、中央研究院、院长、所谓、见、政府、国民党、总统
彭明敏,政治异议者 / 人权救援 / 公共论战,政治异议者,99,52,52,1,9,李敖颠倒众生(52),总统、一起、请我、送我、台大、学生、国民党、台独
陈定南,政治人物 / 公职人员 / 司法人员 / 公共论战,政治人物,99,52,52,1,8,李敖颠倒众生(52),法务部、部长、调查局、检察官、民进党、检察长、总统、法院
赖国洲,媒体 / 学术 / 公职人员 / 公共论战,媒体,99,48,48,1,6,李敖颠倒众生(48),电视、总统、像、国民党、学者、见、委员、政治
李庆华,政治人物 / 选举助选 / 见面 / 朋友 / 公共论战,政治人物,99,46,46,1,15,李敖颠倒众生(46),委员、像、朋友、上校、夫人、所谓、总统、律师
吴子嘉,媒体 / 见面 / 公共论战,媒体,99,45,45,1,6,李敖颠倒众生(45),电视、全民电通的监察人、节目、告诉我、见、跟我说、律师、问我
谢长廷,政治人物 / 律师代理 / 选举助选 / 公共论战,政治人物,99,45,45,1,4,李敖颠倒众生(45),民进党、市长、主席、朋友、所谓、读、总统、巴掌
钟琴,公职人员 / 媒体 / 出版管制 / 公共论战,公职人员,99,42,42,1,6,李敖颠倒众生(42),老烟枪钟琴、节目、民进党、电视、台独、序、新闻局局长钟琴、所谓
殷海光,学术 / 师生 / 见面 / 出版 / 公共论战 / 诗文出处 / 历史类比引用,学术,99,41,41,1,3,李敖颠倒众生(41),主义、朋友、国民党、学者、教授、认识、大学、所谓
孙中山,政治人物 / 公共论战 / 历史类比引用,政治人物,99,40,40,1,8,李敖颠倒众生(40),国民党、主义、所谓、先生、秘书、总统、认识、批评
秦孝仪,学术行政 / 政治人物 / 出版 / 出版管制 / 公共论战 / 历史类比引用,学术行政,99,39,39,1,9,李敖颠倒众生(39),院长、国民党、土地、政府、律师、像、法官、法院
苏志诚,政治人物 / 公职人员 / 创作资料协助 / 公共论战,政治人物,99,32,32,1,8,李敖颠倒众生(32),回扣、总统、学生、法官、所谓、书里、一起、老师
张俊雄,政治人物 / 公职人员 / 公共论战,政治人物,99,31,31,1,8,李敖颠倒众生(31),秘书、总统、民进党、记者、法院、问我、院长、政府
耶稣,宗教人物 / 历史类比引用 / 神交引用,宗教人物,99,30,30,1,5,李敖颠倒众生(30),告诉我、上校、总统、思想、选举、国民党、读、关怀
俞国华,政治人物 / 公共论战,政治人物,99,27,27,1,2,李敖颠倒众生(27),警察、太太、院长、国民党、夫人、财产、总统、母亲
张崇仁,公职人员 / 媒体 / 出版管制 / 公共论战,公职人员,99,27,27,1,3,李敖颠倒众生(27),节目、电视、读、同仁、查禁、广电处处长张崇仁、委员、博士
郝柏村,军事人物 / 政治人物 / 公职人员 / 选举助选 / 公共论战,军事人物,99,27,27,1,6,李敖颠倒众生(27),院长、记者、法院、委员、像、总统、陪他、台独
施明德,政治异议者 / 政治人物 / 公共论战,政治异议者,99,26,26,1,7,李敖颠倒众生(26),民进党、国民党、主席、法院、院长、批评、报纸、巴掌
许荣淑,政治人物 / 政治异议者 / 亲属 / 出版 / 人权救援 / 通信 / 公共论战,政治人物,99,25,25,1,1,李敖颠倒众生(25),委员、朋友、民进党、太太、认识、妻、报纸、国民党
宋美龄,亲属 / 政治人物 / 公职人员 / 公共论战 / 历史类比引用,亲属,99,24,24,1,7,李敖颠倒众生(24),夫人、政府、所谓、财产、共产党、国民党、见、部长
唐飞,军事人物 / 政治人物 / 公职人员 / 公共论战,军事人物,99,23,23,1,8,李敖颠倒众生(23),院长、国民党、像、立委、法院、认识、阿扁用的所有人里面只用了一个算异己，那是谁？就是唐飞、唐飞是美国人点名要用的
梁肃戎,政治人物 / 公职人员 / 通信 / 公共论战,政治人物,99,22,22,1,4,李敖颠倒众生(22),法院、院长、总统、主席、所谓、秘书、警察、民进党
胡秋原,公共论战 / 诉讼 / 学术 / 出版 / 党务宣传 / 左派转向 / 诗文出处 / 历史类比引用,公共论战,99,22,22,1,3,李敖颠倒众生(22),委员、国民党、主席、宣传、杂志、文星、大学、部长
伍世文,军事人物 / 公职人员 / 公共论战,军事人物,99,21,21,1,6,李敖颠倒众生(21),部长、像、一起、法院、总统、委员、检察官、说过
冯沪祥,学术 / 政治人物 / 朋友 / 创作资料协助 / 公共论战,学术,99,21,21,1,9,李敖颠倒众生(21),总统、上校、所谓、台大、法官、警察、像、主义
吕后,历史类比引用 / 政治人物 / 神交引用,历史类比引用,99,21,21,1,4,李敖颠倒众生(21),太太、儿子、妈妈、政治、总统、像、节目、书中
吴经国,体育人物 / 公共论战,体育人物,99,21,21,1,2,李敖颠倒众生(21),总统、报纸、记者、所谓、吴经国要帮北京拉票办奥运、政府、研究、见
康宁祥,政治人物 / 政治异议者 / 选举助选 / 公共论战 / 历史类比引用,政治人物,99,21,21,1,5,李敖颠倒众生(21),委员、法院、读、像、总统、爸爸、所谓、民进党
杜正胜,政治人物 / 学术 / 见面,政治人物,99,21,21,1,5,李敖颠倒众生(21),国民党、所谓、研究、院长、中央研究院、认识、像、所长
柏杨,诗文出处 / 政治异议者 / 人权救援 / 公共论战 / 出版,诗文出处,99,21,21,1,5,李敖颠倒众生(21),政治、报纸、主义、所谓、像、儿子、批评、夫人
谢然之,出版管制 / 政治人物 / 党务宣传 / 公职人员 / 公共论战,出版管制,99,21,21,1,2,李敖颠倒众生(21),国民党、教授、文星、像、好友、出版、主席、杂志
孙悟空,虚拟人物 / 小说剧本人物 / 历史类比引用,虚拟人物,99,19,19,1,3,李敖颠倒众生(19),像、所谓、一起、见、碰到
余陈月瑛,政治人物 / 诉讼 / 公共论战,政治人物,99,17,17,1,6,李敖颠倒众生(17),告发、委员、国民党、民进党、法院、电视、说过、告了蔡同荣、田再庭、余陈月瑛、张俊宏
肯尼迪,政治人物 / 公职人员 / 历史类比引用,政治人物,99,17,17,1,5,李敖颠倒众生(17),总统、部长、认识、弟弟、教授、特务、大学、见
刘泰英,政治人物 / 诉讼 / 财产债务,政治人物,99,16,16,1,3,李敖颠倒众生(16),国民党、读、见、同学、攻击、选举、将军、总统
张忠栋,学术 / 公共论战,学术,99,16,16,1,3,李敖颠倒众生(16),主义、国民党、所谓、学者、出版、教授、像、思想
龙应台,媒体 / 学术 / 公共论战,媒体,99,16,16,1,3,李敖颠倒众生(16),所谓、夫人、政府、书里、儿子、总统、财产、部长
二郎神,虚拟人物 / 宗教人物,虚拟人物,99,15,15,1,2,李敖颠倒众生(15),所谓、一起、见
