姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
李登辉,政治人物 / 公职人员 / 公共论战 / 选举助选 / 财产债务 / 历史类比引用,政治人物,99,529,529,1,50,李敖颠倒众生(529),总统、国民党、像、民进党、委员、政府、所谓、共产党
陈水扁,政治人物 / 律师代理 / 人权救援 / 通信 / 公共论战,政治人物,99,503,503,1,57,李敖颠倒众生(503),总统、政府、国民党、民进党、像、市长、见、所谓
蒋介石,政治人物 / 公共论战 / 历史类比引用,政治人物,99,221,221,1,31,李敖颠倒众生(221),共产党、所谓、见、国民党、总统、政府、将军、像
吕秀莲,政治人物 / 公共论战 / 选举助选,政治人物,99,158,158,1,14,李敖颠倒众生(158),总统、像、政府、县长、民进党、读、主席、见
张学良,军事人物 / 政治人物 / 公共论战 / 创作资料协助 / 历史类比引用,军事人物,99,152,152,1,7,李敖颠倒众生(152),见、将军、国民党、夫人、告诉我、儿子、认识、共产党
尹清枫,军事人物 / 被害人 / 公款经费 / 公共论战,军事人物,99,135,135,1,5,李敖颠倒众生(135),见、电话、打电话、总统、夫人、像、节目、所谓
马英九,政治人物 / 公共论战 / 选举助选,政治人物,99,120,120,1,15,李敖颠倒众生(120),市长、民进党、政府、总统、政治、见、所谓、国民党
张俊宏,政治人物 / 政治异议者 / 媒体 / 公共论战,政治人物,99,118,118,1,7,李敖颠倒众生(118),电视、委员、民进党、全民电通的监察人、律师、见、朋友、告发
蔡同荣,政治人物 / 公共论战 / 诉讼,政治人物,99,118,118,1,7,李敖颠倒众生(118),民进党、电视、委员、国民党、像、告发、一起、报导
李美葵,亲属 / 被害人 / 证人见证 / 创作资料协助 / 公共论战,亲属,99,94,94,1,5,李敖颠倒众生(94),夫人、女士、总统、军法、见、朋友、像、上校
许信良,政治人物 / 政治异议者 / 公共论战 / 选举助选,政治人物,99,82,82,1,17,李敖颠倒众生(82),总统、民进党、像、批评、国民党、政府、所谓、主席
郭力恒,军事人物 / 同案狱友 / 证人见证 / 公款经费 / 公共论战,军事人物,99,79,79,1,5,李敖颠倒众生(79),见、见面、像、先生、委员、监狱、打电话、电话
史力行,军事人物 / 社会案件 / 公共论战,军事人物,99,70,70,1,5,李敖颠倒众生(70),上校、告诉我、总统、主义、读、像、民进党、国民党
宋楚瑜,政治人物 / 党务宣传 / 见面 / 公共论战 / 选举助选,政治人物,99,69,69,1,17,李敖颠倒众生(69),政府、检察官、法院、国民党、见、主席、政治、像
蒋经国,政治人物 / 公共论战 / 历史类比引用,政治人物,99,64,64,1,18,李敖颠倒众生(64),总统、院长、所谓、国民党、政府、朋友、民进党、见
何世礼,军事人物 / 通信 / 创作资料协助 / 公共论战,军事人物,99,61,61,1,2,李敖颠倒众生(61),将军、见、何世礼将军、儿子、父亲、中将、报纸、爸爸
李远哲,学术 / 学术行政 / 创作资料协助 / 公共论战,学术,99,57,57,1,13,李敖颠倒众生(57),研究、中央研究院、院长、所谓、见、政府、国民党、总统
连战,政治人物 / 公共论战 / 选举助选,政治人物,99,57,57,1,20,李敖颠倒众生(57),国民党、广播、像、总统、选举、见、民进党、封杀
彭明敏,政治异议者 / 人权救援 / 公共论战,政治异议者,99,52,52,1,9,李敖颠倒众生(52),总统、一起、请我、送我、台大、学生、国民党、台独
