姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
李登辉,政治人物 / 公职人员 / 公共论战 / 选举助选 / 财产债务 / 历史类比引用,政治人物,99,1915,1915,1,112,李敖大哥大(1915),总统、国民党、像、主席、见、委员、台独、政府
陈水扁,政治人物 / 公职人员 / 律师代理 / 人权救援 / 通信 / 选举助选 / 公共论战,政治人物,99,1625,1625,1,121,李敖大哥大(1625),总统、民进党、政府、国民党、像、政治、见、市长
陈文茜,媒体 / 政治人物 / 通信 / 朋友 / 见面 / 公共论战,媒体,99,1366,1366,1,78,李敖大哥大(1366),节目、民进党、像、电视、委员、法院、政治、总统
蒋介石,政治人物 / 公共论战 / 历史类比引用,政治人物,99,966,966,1,102,李敖大哥大(966),总统、国民党、像、所谓、共产党、儿子、政府、研究
宋楚瑜,政治人物 / 党务宣传 / 见面 / 选举助选 / 公共论战,政治人物,99,606,606,1,66,李敖大哥大(606),国民党、总统、法院、主席、像、选举、委员、政治
马英九,政治人物 / 公共论战 / 选举助选,政治人物,99,575,575,1,47,李敖大哥大(575),市长、国民党、总统、政府、像、见、警察、选举
连战,政治人物 / 公职人员 / 选举助选 / 公共论战,政治人物,99,390,390,1,59,李敖大哥大(390),国民党、总统、主席、像、党部、民进党、访问、政治
周伯伦,政治人物 / 媒体 / 诉讼 / 公共论战 / 见面,政治人物,99,389,389,1,13,李敖大哥大(389),民进党、调查局、法院、国民党、委员、判决、记者、见
余纪忠,媒体 / 出版 / 见面 / 朋友 / 诉讼 / 公共论战,媒体,99,324,324,1,21,李敖大哥大(324),国民党、报纸、像、政治、中将、老师、爸爸、见
蒋经国,政治人物 / 公共论战 / 历史类比引用,政治人物,99,307,307,1,73,李敖大哥大(307),总统、国民党、见、像、儿子、主席、爸爸、政治
孙中山,政治人物 / 公共论战 / 历史类比引用,政治人物,99,285,285,1,42,李敖大哥大(285),总统、国民党、像、主义、研究、将军、政府、书里
彭明敏,政治异议者 / 人权救援 / 公共论战,政治异议者,99,281,281,1,29,李敖大哥大(281),总统、国民党、朋友、台独、政治、民进党、见、像
谢启大,政治人物 / 司法人员 / 公共论战,政治人物,99,280,280,1,30,李敖大哥大(280),委员、国民党、主席、民进党、朋友、法院、法官、像
胡适,通信 / 见面 / 学术 / 学术行政 / 诗文出处 / 公共论战 / 历史类比引用,通信,99,230,230,1,34,李敖大哥大(230),先生、朋友、像、院长、研究、大学、中央研究院、国民党
李远哲,科学家 / 学术 / 学术行政 / 选举助选 / 公共论战,科学家,99,226,226,1,34,李敖大哥大(226),研究、中央研究院、院长、总统、像、选举、一起、见
张学良,军事人物 / 政治人物 / 公共论战 / 历史类比引用,军事人物,99,212,212,1,12,李敖大哥大(212),一起、共产党、见、朋友、国民党、告诉我、家里、认识
李庆华,政治人物 / 选举助选 / 见面 / 朋友 / 公共论战,政治人物,99,202,202,1,35,李敖大哥大(202),主席、委员、见、总统、一起、国民党、民进党、朋友
林重谟,政治人物 / 公共论战,政治人物,99,202,202,1,19,李敖大哥大(202),民进党、委员、法院、像、节目、政治、碰到、见
陈定南,政治人物 / 公职人员 / 司法人员 / 公共论战,政治人物,99,200,200,1,38,李敖大哥大(200),法务部、部长、政府、检察官、总统、民进党、见、像
郑南榕,烈士殉难 / 媒体 / 政治异议者 / 公共论战 / 朋友 / 见面 / 通信,烈士殉难,99,194,194,1,13,李敖大哥大(194),杂志、政治、女儿、国民党、律师、政府、像、台独
冯沪祥,学术 / 政治人物 / 朋友 / 创作资料协助 / 公共论战,学术,99,192,192,1,33,李敖大哥大(192),委员、总统、像、法院、立委、民进党、法官、见
张俊宏,政治人物 / 政治异议者 / 媒体 / 财产债务 / 诉讼 / 公共论战,政治人物,99,178,178,1,18,李敖大哥大(178),民进党、委员、电视、一起、主席、法院、记者、太太
吕秀莲,政治人物 / 公共论战 / 选举助选,政治人物,99,149,149,1,31,李敖大哥大(149),总统、像、法官、所谓、情书、见、政治、主席
蔡同荣,政治人物 / 媒体 / 财产债务 / 诉讼 / 公共论战,政治人物,99,138,138,1,16,李敖大哥大(138),电视、民进党、法院、节目、国民党、委员、一起、政治
宋美龄,亲属 / 政治人物 / 公职人员 / 公共论战 / 历史类比引用,亲属,99,136,136,1,16,李敖大哥大(136),夫人、太太、总统、见、书里、像、电话、一起
蔡英文,政治人物 / 公共论战 / 选举助选,政治人物,99,134,134,1,20,李敖大哥大(134),委员、法院、国民党、学者、政府、教授、经费、论文
希特勒,政治人物 / 公共论战 / 历史类比引用 / 神交引用,政治人物,99,133,133,1,19,李敖大哥大(133),像、总统、选举、见、一起、将军、见面、宣传
胡茵梦,情感 / 姻亲 / 财产信托 / 诉讼 / 媒体 / 出版,情感,99,131,131,1,19,李敖大哥大(131),妈妈、爸爸、离婚、批评、妻、结婚、像、委员
璩美凤,媒体 / 社会案件 / 公共论战,媒体,99,129,129,1,10,李敖大哥大(129),像、批评、告诉我、报导、见、节目、记者、民进党
柏杨,诗文出处 / 政治异议者 / 人权救援 / 公共论战 / 出版,诗文出处,99,112,112,1,12,李敖大哥大(112),政治、总统、像、太太、出版、共产党、写信、序
罗斯福,政治人物 / 神交引用,政治人物,99,107,107,1,14,李敖大哥大(107),总统、像、见、法官、一起、节目、见面、助理
王建煊,政治人物 / 公共论战,政治人物,99,106,106,1,13,李敖大哥大(106),国民党、县长、委员、选举、民进党、党部、主席、部长
钱穆,学术 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,106,106,1,9,李敖大哥大(106),政府、夫人、太太、大学、总统、国民党、像、市长
王作荣,师生 / 学术 / 政治人物 / 公共论战,师生,99,103,103,1,13,李敖大哥大(103),老师、国民党、院长、批评、总统、节目、大学、像
陈仪,政治人物 / 军事人物 / 公共论战 / 历史类比引用 / 神交引用,政治人物,99,97,97,1,8,李敖大哥大(97),国民党、委员、诗、党部、夫人、共产党、少将、主席
许荣淑,政治人物 / 政治异议者 / 亲属 / 出版 / 人权救援 / 通信 / 公共论战,政治人物,99,96,96,1,14,李敖大哥大(96),委员、民进党、法院、太太、一起、杂志、妻、政治
张俊雄,政治人物 / 公职人员 / 公共论战,政治人物,99,94,94,1,24,李敖大哥大(94),院长、夫人、委员、像、国民党、民进党、电视、妻
罗福助,政治人物 / 江湖人物 / 诉讼 / 公共论战 / 见面,政治人物,99,93,93,1,16,李敖大哥大(93),儿子、委员、法院、立委、像、民进党、告诉我、政治
孔子,诗文出处 / 学术 / 历史类比引用 / 神交引用,诗文出处,99,92,92,1,28,李敖大哥大(92),见、学生、像、老师、研究、教授、大学、诗
李鸿禧,学术 / 选举助选 / 公共论战,学术,99,92,92,1,7,李敖大哥大(92),总统、台大、学者、政治、学生、民进党、老师、教授
许信良,政治人物 / 政治异议者 / 公共论战 / 选举助选,政治人物,99,92,92,1,23,李敖大哥大(92),总统、民进党、主席、朋友、选举、像、一起、国民党
