姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
台端公,政治人物,政治人物,54,1,1,1,1,李敖闹衙集(1),法院、部长、市长
司长,政治人物,政治人物,54,1,1,1,1,李敖闹衙集(1),法院、部长、立委
明示土,财产债务,财产债务,54,1,1,1,1,李敖闹衙集(1),土地
朱汇森,学术行政 / 政治人物 / 公共论战 / 历史类比引用,学术行政,54,1,1,1,1,李敖闹衙集(1),写信、出版社、出版、部长
查明惠,情感,情感,54,1,1,1,1,李敖闹衙集(1),情人、债务、政府
解约之,财产债务,财产债务,54,1,1,1,1,李敖闹衙集(1),支票、法院
邓维桢,媒体 / 政治异议者 / 公共论战 / 见面 / 通信,媒体,54,1,1,1,1,李敖闹衙集(1),支票、国库支票、政府
台端等,诉讼,诉讼,53,1,1,1,1,李敖闹衙集(1),法院、委员
尚有何,诉讼,诉讼,53,1,1,1,1,李敖闹衙集(1),法院
方可,军事人物,军事人物,53,1,1,1,1,李敖闹衙集(1),上校
时证明,出版,出版,53,1,1,1,1,李敖闹衙集(1),出版、政府、国民党、所谓
管辖地,编辑,编辑,53,1,1,1,1,李敖闹衙集(1),发行、出版、政府
路人吴,编辑,编辑,53,1,1,1,1,李敖闹衙集(1),发行、出版、国民党
钱申司,政治人物,政治人物,53,1,1,1,1,李敖闹衙集(1),部长、所谓
陆军正,军事人物,军事人物,53,1,1,1,1,李敖闹衙集(1),上校
黄玉娇,财产债务 / 资金支持,财产债务,53,1,1,1,1,李敖闹衙集(1),到我家、国民党
向谁承,神交引用,神交引用,50,1,1,1,1,李敖闹衙集(1),所谓
应受之,神交引用,神交引用,50,1,1,1,1,李敖闹衙集(1),所谓
时乙方,神交引用,神交引用,50,1,1,1,1,李敖闹衙集(1),所谓
许水德,政治人物 / 公共论战 / 见面,政治人物,49,1,1,1,1,李敖闹衙集(1),代理、法院、上诉、诉状、政府
李文,亲属 / 通信 / 创作资料协助 / 公共论战,亲属,48,1,1,1,1,李敖闹衙集(1),代理、警察
孙慧珍,出版 / 创作资料协助 / 出版管制,出版,47,1,1,1,1,李敖闹衙集(1),出版、政府
李宜琛,学术 / 诗文出处 / 学术考证引用 / 历史类比引用 / 神交引用,学术,42,1,1,1,1,李敖闹衙集(1),
时严重,待复核,待复核,46,2,0,1,2,李敖闹衙集(2),
