姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
蒋介石,政治人物 / 公共论战 / 历史类比引用,政治人物,99,3583,3583,1,417,李敖有话说(3583),国民党、共产党、所谓、总统、儿子、见、像、政府
陈水扁,政治人物 / 公职人员 / 律师代理 / 人权救援 / 通信 / 选举助选 / 公共论战,政治人物,99,1298,1298,1,248,李敖有话说(1298),总统、所谓、国民党、民进党、政府、选举、像、市长
马英九,政治人物 / 公共论战 / 选举助选,政治人物,99,1283,1283,1,129,李敖有话说(1283),国民党、主席、市长、总统、政治、军购、所谓、民进党
孙中山,政治人物 / 公共论战 / 历史类比引用,政治人物,99,1186,1186,1,151,李敖有话说(1186),国民党、主义、总统、所谓、像、政府、见、节目
李登辉,政治人物 / 公职人员 / 公共论战 / 选举助选 / 财产债务 / 历史类比引用,政治人物,99,993,993,1,167,李敖有话说(993),总统、所谓、国民党、像、政治、见、主席、共产党
胡适,通信 / 见面 / 学术 / 学术行政 / 诗文出处 / 公共论战 / 历史类比引用,通信,99,984,984,1,131,李敖有话说(984),像、大学、国民党、主义、先生、学生、思想、见
连战,政治人物 / 公职人员 / 选举助选 / 公共论战,政治人物,99,977,977,1,117,李敖有话说(977),国民党、总统、主席、政治、所谓、爸爸、像、大学
毛泽东,政治人物 / 公共论战 / 历史类比引用,政治人物,99,935,935,1,167,李敖有话说(935),主席、共产党、国民党、像、主义、思想、见、大学
鲁迅,诗文出处 / 学术 / 历史类比引用 / 神交引用 / 公共论战,诗文出处,99,711,711,1,60,李敖有话说(711),像、国民党、文学、大学、思想、节目、政府、批评
蒋经国,政治人物 / 公共论战 / 历史类比引用,政治人物,99,661,661,1,184,李敖有话说(661),儿子、国民党、所谓、总统、见、像、政治、爸爸
孔子,诗文出处 / 学术 / 历史类比引用 / 神交引用,诗文出处,99,461,461,1,92,李敖有话说(461),学生、像、见、读、大学、老师、哲学、教授
宋楚瑜,政治人物 / 党务宣传 / 见面 / 选举助选 / 公共论战,政治人物,99,449,449,1,95,李敖有话说(449),国民党、总统、所谓、主席、选举、见、民进党、政治
张学良,军事人物 / 政治人物 / 公共论战 / 历史类比引用,军事人物,99,448,448,1,27,李敖有话说(448),将军、共产党、见、国民党、一起、像、儿子、朋友
胡茵梦,情感 / 姻亲 / 财产信托 / 诉讼 / 媒体 / 出版,情感,99,430,430,1,31,李敖有话说(430),妻、国民党、爸爸、妈妈、结婚、太太、离婚、节目
林语堂,学术 / 诗文出处 / 公共论战 / 神交引用,学术,99,313,313,1,16,李敖有话说(313),大学、文学、像、政府、朋友、国民党、见、作品
邓小平,政治人物 / 公共论战 / 历史类比引用 / 神交引用,政治人物,99,295,295,1,72,李敖有话说(295),主义、思想、见、主席、总统、像、共产党、政治
陈仪,政治人物 / 军事人物 / 公共论战 / 历史类比引用 / 神交引用,政治人物,99,270,270,1,22,李敖有话说(270),主席、弟弟、国民党、将军、参谋、像、政府、司令
钱穆,学术 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,237,237,1,15,李敖有话说(237),大学、学者、见、先生、学生、节目、像、总统
苏轼,诗文出处 / 学术 / 历史类比引用 / 神交引用,诗文出处,99,216,216,1,48,李敖有话说(216),诗、像、读、思想、弟弟、国民党、古人、儿子
希特勒,政治人物 / 公共论战 / 历史类比引用 / 神交引用,政治人物,99,214,214,1,45,李敖有话说(214),市长、像、部长、爸爸、哲学、妈妈、总统、一起
袁世凯,政治人物 / 公共论战 / 历史类比引用,政治人物,99,212,212,1,47,李敖有话说(212),总统、政府、所谓、国民党、一起、选举、像、儿子
阎锡山,军事人物 / 政治人物 / 历史类比引用,军事人物,99,204,204,1,13,李敖有话说(204),共产党、国民党、所谓、主席、院长、见、将军、像
周恩来,政治人物 / 公共论战 / 历史类比引用,政治人物,99,200,200,1,63,李敖有话说(200),共产党、国民党、见、政治、像、朋友、节目、电报
李杰,军事人物 / 公职人员 / 公共论战,军事人物,99,197,197,1,24,李敖有话说(197),部长、法院、委员、军购、国防部长李杰、所谓、将军、共产党
殷海光,学术 / 师生 / 见面 / 出版 / 公共论战 / 诗文出处 / 历史类比引用,学术,99,194,194,1,33,李敖有话说(194),老师、大学、杂志、教授、哲学、像、国民党、台大
陈文茜,媒体 / 政治人物 / 通信 / 朋友 / 见面 / 公共论战,媒体,99,183,183,1,44,李敖有话说(183),朋友、节目、像、民进党、一起、委员、电视、国民党
罗斯福,政治人物 / 神交引用,政治人物,99,182,182,1,50,李敖有话说(182),总统、主义、像、一起、所谓、节目、将军、政治
耶稣,宗教人物 / 历史类比引用 / 神交引用,宗教人物,99,170,170,1,60,李敖有话说(170),像、所谓、书里、宣传、见、国民党、节目、一起
上帝,宗教人物 / 神交引用,宗教人物,99,169,169,1,54,李敖有话说(169),国民党、批评、像、思想、共产党、序、出版、总统
斯大林,政治人物 / 公共论战 / 历史类比引用,政治人物,99,164,164,1,39,李敖有话说(164),共产党、像、总统、见、女儿、国民党、所谓、儿子
刘长乐,媒体 / 见面 / 出版,媒体,99,161,161,1,54,李敖有话说(161),电视、先生、节目、像、大学、朋友、请我、见
彭明敏,政治异议者 / 人权救援 / 公共论战,政治异议者,99,150,150,1,23,李敖有话说(150),总统、台独、民进党、国民党、所谓、政治、朋友、一起
蔡元培,学术行政 / 学术 / 诗文出处 / 公共论战 / 历史类比引用,学术行政,99,143,143,1,44,李敖有话说(143),大学、像、校长、研究、中央研究院、北大、院长、国民党
雷震,政治异议者 / 出版 / 媒体 / 同案狱友,政治异议者,99,142,142,1,32,李敖有话说(142),杂志、国民党、政治、见、像、委员、大学、诗
李光耀,政治人物 / 公共论战,政治人物,99,139,139,1,17,李敖有话说(139),先生、见、像、朋友、说过、儿子、政治、大学
施明德,政治异议者 / 政治人物 / 公共论战,政治异议者,99,136,136,1,18,李敖有话说(136),民进党、妻、政治、主席、所谓、朋友、总统、太太
富兰克林,政治人物 / 诗文出处 / 历史类比引用 / 神交引用,政治人物,99,135,135,1,22,李敖有话说(135),儿子、像、一起、女儿、太太、见、政治、结婚
孟子,学术 / 历史类比引用 / 神交引用,学术,99,131,131,1,44,李敖有话说(131),思想、书里、政治、古代、像、诗、读、一起
曹操,政治人物 / 军事人物 / 诗文出处 / 历史类比引用 / 公共论战,政治人物,99,130,130,1,21,李敖有话说(130),女儿、朋友、儿子、爸爸、一起、结婚、弟弟、说过
达赖喇嘛,宗教人物 / 政治人物 / 公共论战 / 人权救援,宗教人物,99,129,129,1,6,李敖有话说(129),政府、主义、委员、见、写信、像、院长、共产党
宋美龄,亲属 / 政治人物 / 公职人员 / 公共论战 / 历史类比引用,亲属,99,127,127,1,42,李敖有话说(127),夫人、见、太太、总统、国民党、老师、像、一起
文天祥,历史类比引用 / 政治异议者,历史类比引用,99,126,126,1,26,李敖有话说(126),古人、一起、总统、问我、电话、请他、诗、家里
艾森豪威尔,政治人物 / 军事人物 / 历史类比引用,政治人物,99,126,126,1,29,李敖有话说(126),将军、总统、儿子、查禁、朋友、书里、太太、政治
李文,亲属 / 通信 / 创作资料协助 / 公共论战,亲属,99,124,124,1,29,李敖有话说(124),女儿、博士、李文博士、总统、妈妈、太太、像、母亲
马克思,学术 / 公共论战 / 历史类比引用,学术,99,123,123,1,37,李敖有话说(123),主义、思想、哲学、朋友、委员、像、共产党、见
