姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
李登辉,政治人物 / 公职人员 / 公共论战 / 选举助选 / 财产债务 / 历史类比引用,政治人物,99,2236,2236,1,110,挑战李敖(2236),总统、国民党、像、见、政治、主席、共产党、所谓
宋楚瑜,政治人物 / 党务宣传 / 见面 / 公共论战 / 选举助选,政治人物,99,2043,2043,1,103,挑战李敖(2043),国民党、像、总统、政治、秘书、批评、见、民进党
陈水扁,政治人物 / 律师代理 / 人权救援 / 通信 / 公共论战,政治人物,99,1062,1062,1,99,挑战李敖(1062),市长、总统、像、民进党、国民党、见、政治、政府
连战,政治人物 / 公共论战 / 选举助选,政治人物,99,819,819,1,101,挑战李敖(819),总统、国民党、像、朋友、见、政治、选举、节目
蒋介石,政治人物 / 公共论战 / 历史类比引用,政治人物,99,507,507,1,81,挑战李敖(507),研究、总统、像、教授、国民党、共产党、政治、台独
李远哲,学术 / 学术行政 / 创作资料协助 / 公共论战,学术,99,499,499,1,43,挑战李敖(499),研究、中央研究院、院长、像、学术、批评、学者、老师
马英九,政治人物 / 公共论战 / 选举助选,政治人物,99,365,365,1,45,挑战李敖(365),见、市长、像、政府、电话、国民党、见面、总统
陈文茜,媒体 / 政治人物 / 通信 / 朋友 / 见面 / 公共论战,媒体,99,303,303,1,38,挑战李敖(303),总统、像、朋友、民进党、电话、见、老师、节目
孙中山,政治人物 / 公共论战 / 历史类比引用,政治人物,99,267,267,1,45,挑战李敖(267),研究、主义、总统、像、国民党、政府、朋友、思想
李庆华,政治人物 / 公共论战,政治人物,99,262,262,1,50,挑战李敖(262),主席、总统、见、朋友、先生、像、国民党、记者
许信良,政治人物 / 政治异议者 / 公共论战 / 选举助选,政治人物,99,262,262,1,61,挑战李敖(262),总统、像、民进党、朋友、政治、国民党、见、一起
蒋经国,政治人物 / 公共论战 / 历史类比引用,政治人物,99,244,244,1,59,挑战李敖(244),总统、国民党、儿子、大学、同学、政治、共产党、像
冯沪祥,学术 / 政治人物 / 朋友 / 创作资料协助 / 公共论战,学术,99,144,144,1,24,挑战李敖(144),总统、朋友、像、见、国民党、台大、哲学、委员
彭明敏,政治异议者 / 人权救援 / 公共论战,政治异议者,99,142,142,1,35,挑战李敖(142),国民党、台独、朋友、民进党、总统、太太、老师、一起
吕秀莲,政治人物 / 公共论战 / 选举助选,政治人物,99,139,139,1,37,挑战李敖(139),总统、刑求、像、台独、县长、民进党、政治、法庭
