姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
雷震,政治异议者 / 出版 / 媒体 / 同案狱友 / 创作资料协助,政治异议者,99,39,39,1,8,李敖秘密书房(39),杂志、朋友、像、国民党、发行、政府、批评、政治
陈独秀,学术 / 政治人物 / 神交引用,学术,99,37,37,1,3,李敖秘密书房(37),共产党、文学、杂志、大学、儿子、院长、思想、国民党
罗斯福,政治人物 / 神交引用,政治人物,99,36,36,1,9,李敖秘密书房(36),总统、传记、政府、一起、主义、晤、助理、见
释迦牟尼,宗教人物 / 神交引用,宗教人物,99,36,36,1,8,李敖秘密书房(36),像、思想、说过、妈妈、碰到、出版品、儿子、出版
施明德,政治异议者 / 政治人物 / 公共论战,政治异议者,99,35,35,1,10,李敖秘密书房(35),一起、政治、像、主席、选举、分手、先生、批评
希特勒,政治人物 / 公共论战 / 历史类比引用 / 神交引用,政治人物,99,33,33,1,12,李敖秘密书房(33),像、主义、参谋、司令、上校、一起、结婚、政治
杨西崑,公职人员 / 创作资料协助 / 通信 / 历史类比引用,公职人员,99,33,33,1,1,李敖秘密书房(33),先生、见、跟我说、像、国民党、请我、家里、到我家
丘吉尔,政治人物 / 诗文出处 / 历史类比引用 / 神交引用,政治人物,99,32,32,1,9,李敖秘密书房(32),像、一起、找他、文学、太太、少将、所谓、晤
傅斯年,学术 / 学术行政 / 诗文出处 / 公共论战 / 历史类比引用,学术,99,31,31,1,5,李敖秘密书房(31),研究、中央研究院、学生、大学、教授、见、所长、同学
李翰祥,媒体 / 文艺音乐 / 朋友 / 见面 / 公共论战 / 创作资料协助,媒体,99,31,31,1,7,李敖秘密书房(31),导演、像、朋友、一起、家里、认识、太太、情人
张大千,文艺音乐 / 诗文出处 / 公共论战 / 历史类比引用 / 神交引用,文艺音乐,99,30,30,1,5,李敖秘密书房(30),像、出版、出版品、大学、先生、院长、诗、一起
刘泰英,政治人物 / 诉讼 / 财产债务,政治人物,99,29,29,1,12,李敖秘密书房(29),国民党、同学、朋友、请我、像、学生、父亲、爸爸
毛泽东,政治人物 / 公共论战 / 历史类比引用,政治人物,99,29,29,1,12,李敖秘密书房(29),共产党、国民党、像、宣传、政治、思想、文学、所谓
王建煊,政治人物 / 公共论战,政治人物,99,29,29,1,7,李敖秘密书房(29),先生、朋友、委员、政治、一起、节目、到我家、我家来
萧孟能,出版 / 出版管制 / 财产债务 / 公共论战 / 历史类比引用,出版,99,29,29,1,4,李敖秘密书房(29),文星、先生、朋友、政治、国民党、发行、杂志、像
黄兴,政治人物 / 政治异议者 / 历史类比引用 / 神交引用,政治人物,99,27,27,1,4,李敖秘密书房(27),像、认识、部长、政府、所谓、国民党、将军、见
慈禧,政治人物 / 历史类比引用 / 神交引用,政治人物,99,26,26,1,11,李敖秘密书房(26),碰到、政府、像、政治、夫人、学者、母亲、主义
罗素,诗文出处 / 学术 / 历史类比引用 / 神交引用 / 出版,诗文出处,99,26,26,1,11,李敖秘密书房(26),哲学、文学、像、主义、大学、作品、思想、太太
马尔罗,出版 / 政治人物 / 神交引用,出版,99,26,26,1,2,李敖秘密书房(26),部长、文学、总统、杂志、国民党、共产党、像、先生
彭明敏,政治异议者 / 人权救援 / 公共论战,政治异议者,99,25,25,1,12,李敖秘密书房(25),像、学生、爸爸、总统、朋友、县长、委员、研究
玛利亚,宗教人物 / 历史类比引用 / 神交引用,宗教人物,99,25,25,1,10,李敖秘密书房(25),像、政治、妹妹、见、报纸、市长、查禁、文学
郑成功,历史类比引用 / 军事人物 / 政治人物 / 神交引用,历史类比引用,99,25,25,1,3,李敖秘密书房(25),政府、妈妈、爸爸、像、台独、见、告诉我、朋友
陈清忠,亲属 / 司法人员 / 诉讼 / 财产债务,亲属,99,25,20,1,4,李敖秘密书房(25),女儿、儿子、太太、院长、起诉、父亲、岳母、检察官
侯宝林,文艺音乐 / 媒体 / 历史类比引用,文艺音乐,99,24,24,1,2,李敖秘密书房(24),见、认识、像、批评、先生、拜访、回信、大学
爱因斯坦,科学家 / 历史类比引用 / 神交引用,科学家,99,24,24,1,14,李敖秘密书房(24),像、大学、哲学、老师、学者、思想、太太、离婚
谢长廷,政治人物 / 律师代理 / 选举助选 / 通信 / 公共论战,政治人物,99,24,24,1,8,李敖秘密书房(24),律师、民进党、像、太太、上诉、所谓、政治、朋友
林义雄,政治人物 / 政治异议者 / 人权救援 / 社会案件 / 亲属 / 公共论战,政治人物,99,23,23,1,3,李敖秘密书房(23),像、主席、国民党、刑求、家里、跟我说、见、先生
蔡元培,学术行政 / 学术 / 诗文出处 / 公共论战 / 历史类比引用,学术行政,99,21,21,1,7,李敖秘密书房(21),大学、研究、中央研究院、院长、国民党、像、太太、父亲
袁崇焕,历史类比引用 / 军事人物 / 政治异议者 / 神交引用,历史类比引用,99,21,21,1,4,李敖秘密书房(21),将军、像、政府、说过
琼瑶,出版 / 神交引用,出版,99,20,20,1,6,李敖秘密书房(20),像、情书、文学、书里、一起、教授、节目、见
陈履安,政治人物 / 财产债务 / 亲属 / 通信 / 公共论战,政治人物,99,20,20,1,9,李敖秘密书房(20),民进党、像、拜访、选举、国民党、爸爸、一起、先生
李友邦,亲属 / 公共论战 / 姻亲 / 见面,亲属,99,19,16,1,2,李敖秘密书房(19),太太、国民党、儿子、见、共产党、爸爸、学者、将军
李大钊,政治人物 / 公共论战 / 历史类比引用,政治人物,99,19,19,1,3,李敖秘密书房(19),共产党、大学、管理员、国民党、学生、政治、教授、诗
甘地,历史类比引用 / 政治异议者 / 神交引用,历史类比引用,99,19,19,1,5,李敖秘密书房(19),像、太太、律师、一起、主义、诗、辩护、家里
胡兰成,见面 / 通信 / 神交引用 / 亲属,见面,99,19,17,1,1,李敖秘密书房(19),认识、像、写信、说过、杂志、宣传、朋友、政府
袁世凯,政治人物 / 公共论战 / 历史类比引用,政治人物,99,19,19,1,5,李敖秘密书房(19),总统、政府、儿子、写信、出版、所谓、夫人
李宗仁,政治人物 / 军事人物 / 公职人员 / 选举助选 / 诗文出处 / 历史类比引用,政治人物,99,18,18,1,3,李敖秘密书房(18),总统、秘书、父亲、宣传、学生、儿子、读、大学
殷海光,学术 / 师生 / 见面 / 出版 / 公共论战 / 诗文出处 / 历史类比引用,学术,99,18,18,1,8,李敖秘密书房(18),杂志、老师、发行、像、主义、国民党、到我家、家里
胡秋原,公共论战 / 诉讼 / 学术 / 出版 / 党务宣传 / 左派转向 / 诗文出处 / 历史类比引用,公共论战,99,18,18,1,10,李敖秘密书房(18),国民党、报纸、委员、研究、中央研究院、攻击、法庭、共产党
司马光,政治人物 / 学术 / 诗文出处 / 历史类比引用 / 神交引用,政治人物,99,17,17,1,1,李敖秘密书房(17),著作、哲学、政治、读、一起、大学、节目、电视
郝龙斌,政治人物 / 公共论战,政治人物,99,17,17,1,5,李敖秘密书房(17),记者、像、政治、法院、儿子、爸爸、记者招待会、电视
戴维思,神交引用,待复核,99,16,16,1,1,李敖秘密书房(16),所谓、读、先生、报导、研究、老师、教授、告诉我
林语堂,学术 / 诗文出处 / 公共论战 / 神交引用,学术,99,16,16,1,6,李敖秘密书房(16),老师、像、作品、教授、大学、政治、思想、主义
陈鹏钦,学术行政,学术行政,99,16,15,1,3,李敖秘密书房(16),事务、研究、中央研究院、总统、本院、院长、秘书、书里
邓丽君,文艺音乐 / 创作资料协助 / 公共论战,文艺音乐,99,15,15,1,2,李敖秘密书房(15),认识、报导、朋友、请我、太太、母亲、中将、教授
常常讲,神交引用 / 公共论战 / 诉讼,神交引用,99,14,12,1,12,李敖秘密书房(14),像、见、打电话、电话、学生、父亲、国民党、朋友
林徽因,诗文出处 / 文艺音乐 / 历史类比引用 / 神交引用,诗文出处,99,14,14,1,1,李敖秘密书房(14),父亲、像、离婚、爸爸、夫人、情书、女儿、儿子
王世杰,政治人物 / 学术行政 / 公共论战 / 公款经费 / 财产债务,政治人物,99,14,14,1,5,李敖秘密书房(14),研究、中央研究院、院长、部长、国民党、请我、序、批评
章太炎,学术 / 诗文出处 / 出版 / 政治异议者 / 公共论战 / 历史类比引用,学术,99,14,14,1,5,李敖秘密书房(14),学生、序、像、大学、读、所谓、古代、先生
连惠心,亲属 / 姻亲 / 师生,亲属,99,14,11,1,3,李敖秘密书房(14),女儿、结婚、老师、儿子、嫁给、起诉、哥哥、姐姐
江冬秀,姻亲 / 出版 / 公共论战,姻亲,99,13,13,1,2,李敖秘密书房(13),妈妈、家里、儿子、太太、妻、母亲、拳头、研究
谢启大,政治人物 / 司法人员 / 公共论战,政治人物,99,13,13,1,5,李敖秘密书房(13),委员、法院、像、妈妈、国民党、学者、院长、问我
陈进兴,社会案件 / 公共论战,社会案件,99,13,13,1,4,李敖秘密书房(13),像、电视、教授、法务部、监狱、部长、报导、结婚
龙应台,媒体 / 学术 / 公共论战,媒体,99,13,13,1,6,李敖秘密书房(13),像、一起、朋友、部长、政治、总统、民进党、批评
曾文惠,亲属 / 财产债务 / 公共论战,亲属,99,12,12,1,3,李敖秘密书房(12),读、夫人、节目、到我家、女士、母亲、妈妈、妹妹
李老师,师生,师生,99,12,12,1,6,李敖秘密书房(12),老师、法官、总统、父亲、读、序、朋友、节目
李薰山,诉讼 / 军事人物,诉讼,99,12,9,1,1,李敖秘密书房(12),共产党、先生、判决、司令、朋友、台大、访谈、国民党
秦孝仪,学术行政 / 政治人物 / 出版 / 出版管制 / 公共论战 / 历史类比引用,学术行政,99,12,12,1,6,李敖秘密书房(12),律师、总统、思想、见、法官、法院、像、书里
那意思,神交引用 / 监所医疗,待复核,99,12,9,1,9,李敖秘密书房(12),病房、政治、大学、学生、律师、比喻、读、记者
万书如,神交引用,待复核,99,11,11,1,5,李敖秘密书房(11),所谓、诗、书里、像、节目
刘峰松,政治异议者 / 诗文出处 / 同案狱友 / 通信 / 公共论战,政治异议者,99,11,11,1,2,李敖秘密书房(11),老师、看守所、朋友、像、我家来、委员、爸爸、一起
翁岳生,司法人员 / 学术 / 见面,司法人员,99,11,11,1,2,李敖秘密书房(11),院长、法院、大学、台大、国民党、问我、总统、像
赵少康,政治人物 / 媒体 / 公共论战 / 朋友,政治人物,99,11,11,1,7,李敖秘密书房(11),选举、市长、访问、问我、政治、请我、跟我说、太太
邓小平,政治人物 / 公共论战 / 历史类比引用 / 神交引用,政治人物,99,11,11,1,6,李敖秘密书房(11),文学、共产党、所谓、见、批评、像、朋友
陶渊明,诗文出处 / 学术 / 历史类比引用 / 神交引用,诗文出处,99,11,11,1,4,李敖秘密书房(11),儿子、朋友、诗、母亲、像、国民党、读
马克思,学术 / 公共论战 / 历史类比引用,学术,99,11,11,1,2,李敖秘密书房(11),主义、写信、朋友、名言、像、见、见证
刘绍唐,出版 / 媒体 / 师生 / 见面 / 通信 / 公共论战 / 创作资料协助,出版,99,10,10,1,4,李敖秘密书房(10),文学、传记、朋友、一起、学生、大学、先生、出版社
庄子,历史类比引用 / 神交引用,历史类比引用,99,10,10,1,6,李敖秘密书房(10),序、所谓、像、哲学、研究、读、古代
徐霞客,神交引用 / 师生,待复核,99,10,6,1,2,李敖秘密书房(10),像、教授、读、老师、传记
杜甫,诗文出处 / 历史类比引用 / 神交引用,诗文出处,99,10,10,1,5,李敖秘密书房(10),诗、妻、像、作品、文学、访问、记者、国民党
杨贵雄,姻亲 / 司法人员,姻亲,99,10,10,1,1,李敖秘密书房(10),太太、报纸、法官、像、检察官、老师、法务部、法院
林弘宣,政治异议者 / 通信 / 人权救援,政治异议者,99,10,10,1,4,李敖秘密书房(10),像、到我家、我家来、爸爸、律师、辩护、太太、报纸
殷琪,财产债务 / 公共论战,财产债务,99,10,10,1,4,李敖秘密书房(10),妈妈、见、家里、像、历史上、大学、认识、一起
汪荣祖,学术 / 创作资料协助 / 出版 / 通信 / 见面 / 历史类比引用,学术,99,10,10,1,7,李敖秘密书房(10),教授、朋友、找他、像、研究、见、论文、学生
王安石,历史类比引用 / 政治人物 / 学术 / 神交引用,历史类比引用,99,10,10,1,7,李敖秘密书房(10),诗、文学、批评、像、老师、学生、朋友、报导
翁金珠,政治人物 / 选举助选 / 公共论战,政治人物,99,10,10,1,3,李敖秘密书房(10),到我家、我家来、法院、委员、老师、朋友、访问、记者
肯尼迪,政治人物 / 公职人员 / 历史类比引用,政治人物,99,10,10,1,5,李敖秘密书房(10),总统、像、晤、访问、记者、记者招待会、爸爸、女儿
蒋廷黻,学术 / 政治人物 / 诗文出处 / 历史类比引用 / 公共论战 / 神交引用,学术,99,10,10,1,3,李敖秘密书房(10),序、见、文星、批评、国民党、像、朋友、部长
颜清标,政治人物 / 公共论战,政治人物,99,10,10,1,5,李敖秘密书房(10),部长、政治、老师、法务部、选举、先生
严停云,出版 / 亲属 / 姻亲 / 公共论战,出版,99,9,9,1,2,李敖秘密书房(9),夫人、学生、电视、女士、总统、诗、认识、老师
严秀峰,姻亲 / 亲属 / 公共论战,姻亲,99,9,9,1,1,李敖秘密书房(9),女士、太太、共产党、见、国民党、见证、爸爸、儿子
凤梨,司法人员 / 政治人物 / 神交引用,司法人员,99,9,9,1,2,李敖秘密书房(9),法官、总统、像、朋友、院长、法院、土地、委员
叶金凤,司法人员 / 公职人员 / 公共论战,司法人员,99,9,9,1,4,李敖秘密书房(9),部长、法务部、采访、选举、国民党、院长、委员、检察官
姚从吾,师生 / 学术 / 见面 / 创作资料协助,师生,99,9,9,1,3,李敖秘密书房(9),老师、研究、同学、中央研究院、写信、同班、先生、见
尼克松,政治人物 / 主剧情人物 / 小说剧本人物 / 历史类比引用,政治人物,99,9,9,1,5,李敖秘密书房(9),总统、政治、像、将军、所谓、访问、共产党
林肯,政治人物 / 历史类比引用 / 神交引用,政治人物,99,9,9,1,7,李敖秘密书房(9),像、总统、妈妈、儿子、认识、母亲、国民党、政府
江泽民,政治人物 / 公共论战,政治人物,99,9,9,1,6,李敖秘密书房(9),报纸、政治、总统、一起、访问、记者、选举、国民党
汪精卫,政治人物 / 公职人员 / 历史类比引用,政治人物,99,9,9,1,4,李敖秘密书房(9),像、政府、文学、写信、研究、中央研究院、院长、秘书
沈君山,学术 / 学术行政 / 党务宣传 / 机构警卫 / 公共论战,学术,99,9,9,1,2,李敖秘密书房(9),妻、问我、碰到、电视、像、妈妈、教授、一起
王又曾,亲属 / 公共论战,亲属,99,9,9,1,6,李敖秘密书房(9),警察、像、国民党、教授、朋友、报纸、爸爸、财产
郝柏村,军事人物 / 政治人物 / 公职人员 / 选举助选 / 公共论战,军事人物,99,9,9,1,6,李敖秘密书房(9),儿子、国民党、民进党、节目、院长、作品、诗、总统
里根,政治人物 / 主剧情人物 / 小说剧本人物 / 媒体 / 历史类比引用,政治人物,99,9,9,1,5,李敖秘密书房(9),像、总统、政治、跟我说、爸爸、家里、太太、电视
列宁,政治人物 / 公共论战 / 历史类比引用,政治人物,99,8,8,1,4,李敖秘密书房(8),政治、所谓、朋友、像、国民党、共产党、研究
危楼,学术行政 / 神交引用,待复核,99,8,8,1,3,李敖秘密书房(8),研究、中央研究院、古代、像
康宁祥,政治人物 / 政治异议者 / 选举助选 / 公共论战 / 历史类比引用,政治人物,99,8,8,1,3,李敖秘密书房(8),委员、总统、大学、碰到、弟弟、关怀、民进党、像
方素敏,政治异议者 / 人权救援 / 社会案件 / 通信 / 亲属 / 公共论战,政治异议者,99,8,8,1,1,李敖秘密书房(8),见、见面、朋友
王兆民,政治人物 / 公职人员 / 通信 / 出版 / 创作资料协助,政治人物,99,8,8,1,1,李敖秘密书房(8),父亲、先生、同学、大学、同班、国民党、委员、母亲
蒋彦士,政治人物 / 公共论战,政治人物,99,8,8,1,2,李敖秘密书房(8),父亲、大学、像、跟我说、说过、先生、读、找我
陈炳基,见面 / 媒体,见面,99,8,7,1,1,李敖秘密书房(8),访问、报导、见、记者、问我、共产党、先生、见面
黄信介,政治人物 / 政治异议者 / 媒体 / 公职人员 / 公共论战,政治人物,99,8,8,1,3,李敖秘密书房(8),报人、像、女儿、委员、见、爸爸、关怀、弟弟
任显群,司法人员 / 政治人物 / 历史类比引用 / 亲属,司法人员,99,7,7,1,1,李敖秘密书房(7),嫁给
冯沪祥,学术 / 政治人物 / 朋友 / 创作资料协助 / 公共论战,学术,99,7,7,1,5,李敖秘密书房(7),总统、找我、委员、记者、台独、国民党、见、见面
凯撒,政治人物 / 军事人物 / 历史类比引用 / 神交引用,政治人物,99,7,7,1,1,李敖秘密书房(7),
司法改,司法人员,司法人员,99,7,6,1,4,李敖秘密书房(7),法官、律师、判决、选举、国民党、像、跟我说、问我
周恩来,政治人物 / 公共论战 / 创作资料协助 / 历史类比引用,政治人物,99,7,7,1,4,李敖秘密书房(7),共产党、同学、同班、记者、像、先生、见、所谓
宗教,神交引用,待复核,99,7,5,1,3,李敖秘密书房(7),像、朋友
广告人,政治人物 / 神交引用,政治人物,99,7,7,1,1,李敖秘密书房(7),总统、像、爸爸、文星、研究、选举、主义
李元簇,司法人员 / 政治人物 / 公职人员 / 公共论战 / 历史类比引用,司法人员,99,7,7,1,2,李敖秘密书房(7),总统、司法行政部、老师、一起
杜威,学术 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,7,7,1,1,李敖秘密书房(7),学生、哲学、夫人、陪他、先生、主义、诗、老师
梅兰芳,媒体 / 神交引用,媒体,99,7,7,1,2,李敖秘密书房(7),交情、像、朋友
游锡堃,政治人物 / 公职人员 / 公共论战,政治人物,99,7,7,1,1,李敖秘密书房(7),记者、秘书、访问、主席、委员、朋友、像
莎士比亚,诗文出处 / 历史类比引用 / 神交引用,诗文出处,99,7,7,1,4,李敖秘密书房(7),像
陈彦增,同学 / 朋友 / 见面 / 通信 / 证人见证 / 出版 / 公共论战,同学,99,7,7,1,4,李敖秘密书房(7),朋友、大学、教授、见、见面、问我、一起、同学
齐邦媛,学术 / 诗文出处 / 亲属 / 历史类比引用,学术,99,7,7,1,2,李敖秘密书房(7),老师、文学、作品、教授、国民党、所谓、像
俞大维,军事人物 / 公职人员 / 学术 / 历史类比引用,军事人物,99,6,6,1,2,李敖秘密书房(6),请他、法院、部长、国民党、像、委员、见
卡特,政治人物 / 主剧情人物 / 小说剧本人物 / 历史类比引用,政治人物,99,6,6,1,3,李敖秘密书房(6),政府、总统、见、所谓、记者
司法审,亲属 / 同案狱友,亲属,99,6,5,1,1,李敖秘密书房(6),爸爸、像、杂志、军法、国民党、见、律师
吴大猷,学术 / 学术行政 / 公共论战,学术,99,6,6,1,3,李敖秘密书房(6),学生、研究、院长、中央研究院、朋友、秘书、所谓、像
吴相湘,师生 / 学术 / 见面 / 编辑 / 诗文出处 / 出版,师生,99,6,6,1,3,李敖秘密书房(6),同学、请我、教授、大学、老师、批评、写信、先生
孟子,学术 / 历史类比引用 / 神交引用,学术,99,6,6,1,5,李敖秘密书房(6),太太、离婚、书里、诗、思想、家里、妻、见
巫金声,媒体,媒体,99,6,5,1,1,李敖秘密书房(6),先生、访问、记者、认识、找他、打电话、电话、家里
应凤凰,出版,出版,99,6,6,1,4,李敖秘密书房(6),文学、研究、跟我说、小姐、像
支持国,政治人物 / 公共论战,政治人物,99,6,6,1,4,李敖秘密书房(6),国民党、像、选举、批评、大学、立委、主席
田弘茂,政治人物,政治人物,99,6,6,1,1,李敖秘密书房(6),部长、像、先生、总统
谢聪敏,政治人物 / 人权救援 / 创作资料协助 / 公共论战,政治人物,99,6,6,1,3,李敖秘密书房(6),朋友、父亲、老师、学生、一起、教授、同学、交往
霍姆斯,司法人员 / 诗文出处 / 历史类比引用 / 神交引用,司法人员,99,6,6,1,2,李敖秘密书房(6),法官、主席
公开表,媒体,媒体,99,5,5,1,4,李敖秘密书房(5),记者、太太、上诉、访问、问我、报导、跟我说、主席
叶明勋,财产债务 / 财产信托 / 通信,财产债务,99,5,5,1,3,李敖秘密书房(5),先生、夫人、发行、杂志、文星、总统、诗、哥哥
叶菊兰,政治人物 / 选举助选 / 公共论战,政治人物,99,5,5,1,4,李敖秘密书房(5),朋友、像、委员、民进党、爸爸、杂志、国民党、编辑
张慰慈,学术 / 诗文出处 / 神交引用,学术,99,5,5,1,2,李敖秘密书房(5),教授、朋友、大学、政治
斯大林,政治人物 / 公共论战 / 历史类比引用,政治人物,99,5,5,1,4,李敖秘密书房(5),共产党、晤、访问、像、见
李济,学术 / 学术行政 / 公共论战,学术,99,5,5,1,3,李敖秘密书房(5),研究、中央研究院、所长、写信、著作、像、请他、老师
杰斐逊,政治人物 / 创作资料协助 / 历史类比引用,政治人物,99,5,5,1,3,李敖秘密书房(5),总统、所谓、母亲、妈妈、大学
江述凡,朋友 / 见面 / 通信 / 创作资料协助 / 文艺音乐,朋友,99,5,5,1,1,李敖秘密书房(5),朋友、节目、广播、先生
猪八戒,虚拟人物 / 小说剧本人物 / 历史类比引用,虚拟人物,99,5,5,1,4,李敖秘密书房(5),像、总统、选举、电视
王作荣,师生 / 学术 / 政治人物 / 创作资料协助 / 公共论战,师生,99,5,5,1,2,李敖秘密书房(5),经费、选举、一起、老师、文学、像、见
萧伯纳,诗文出处 / 历史类比引用 / 神交引用,诗文出处,99,5,5,1,3,李敖秘密书房(5),文学、像
