姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
李文钧,亲属,亲属,89,7,7,1,1,李敖自传与回忆(7),姐姐、妹妹、像、同住、女儿、读、教授、儿子
于长城,政治异议者,政治异议者,89,5,5,1,1,李敖自传与回忆(5),政府、国民党、记者、总统、共产党
张伯伯,称谓待考 / 见面,称谓待考,89,5,5,1,1,李敖自传与回忆(5),读、见、师母、到我家、警察、交情
张伯敏,学术,学术,89,3,3,1,1,李敖自传与回忆(3),老师、见、史学、大学、教授、主义
汪梦湘,情治警务 / 军事人物 / 出版 / 朋友,情治警务,89,3,3,1,1,李敖自传与回忆(3),朋友、文星、上校
杨锦钟,师生,师生,88,3,3,1,1,李敖自传与回忆(3),老师、像、夫人、国民党、学生
胡颂平,学术,学术,88,3,3,1,1,李敖自传与回忆(3),见、同学、研究、台大、先生、请我、学生、古人
钱思亮,学术,学术,87,3,3,1,2,李敖自传与回忆(3),台大、教书、学术、老师、家里、大学、法院、立委
庄严,学术 / 通信,学术,86,3,3,1,2,李敖自传与回忆(3),爸爸、教授、授课、台大、学生、朋友、妈妈、嫁给
侯立朝,情治警务 / 出版 / 公共论战,情治警务,85,4,4,1,2,李敖自传与回忆(4),杂志、情治、国民党、文星
施敏雄,同学同事 / 感化人员,同学同事,84,4,4,1,2,李敖自传与回忆(4),国民党、认识、一起、同学
毛树清,同学同事 / 朋友 / 感化人员,同学同事,84,4,4,1,2,李敖自传与回忆(4),国民党、一起、同学、上校、少将
陈琏先,师生,师生,84,4,3,1,1,李敖自传与回忆(4),同学、老师、学生、打电话、电话、女儿、父亲
黄信介,政治人物 / 政治异议者 / 媒体 / 公共论战,政治人物,84,3,3,1,1,李敖自传与回忆(3),见、杂志、报纸、政府、读
徐伟森,朋友 / 见面,朋友,83,3,3,1,1,李敖自传与回忆(3),爸爸、见、朋友、太太、妈妈
谢聪敏,同案狱友 / 政治异议者,同案狱友,82,4,4,1,3,李敖自传与回忆(4),见、同学、监狱、国民党、读
毛子水,学术,学术,81,3,3,1,1,李敖自传与回忆(3),老师、研究、思想、著作、请他、一起
陈独秀,学术 / 政治人物 / 神交引用,学术,81,3,3,1,2,李敖自传与回忆(3),老师、同学、同班、北大、文学、见、共产党
骆学良,出版 / 媒体 / 通信,出版,80,3,3,1,1,李敖自传与回忆(3),编辑、杂志、文星、学术、思想
吴彰炯,情治警务 / 军事人物,情治警务,79,3,3,1,1,李敖自传与回忆(3),警总、保安处、少将、国民党
胡传厚,媒体,媒体,76,3,3,1,1,李敖自传与回忆(3),学生、朋友、儿子、父亲、国民党、思想
顾维钧,政治人物 / 神交引用,政治人物,76,3,3,1,1,李敖自传与回忆(3),告诉我、爸爸、政治
黄毅辛,同案狱友 / 媒体,同案狱友,74,3,3,1,1,李敖自传与回忆(3),朋友、大学、采访
钱穆,学术 / 通信 / 公共论战 / 感化人员,学术,73,3,3,1,3,李敖自传与回忆(3),文星、批评、国民党、研究、大学、法院、文学
史与为,情治警务 / 政治异议者,情治警务,72,3,3,1,1,李敖自传与回忆(3),调查局、国民党、共产党
高时运,同案狱友 / 政治人物,同案狱友,72,3,3,1,1,李敖自传与回忆(3),读、像、朋友、大学、采访
